Timestamp,Cho chúng mình biết bạn đang là sinh viên khóa bao nhiêu ?,Chuyên ngành của bạn là gì ? ,Giới tính của bạn,Bạn đang sử dụng laptop hãng nào ?,Mẫu máy của bạn là gì ?,Mức độ hài lòng về chiếc laptop của bạn,Đánh giá sơ bộ laptop của bạn [Chất lượng hoàn thiện],Đánh giá sơ bộ laptop của bạn [Thiết kế],Đánh giá sơ bộ laptop của bạn [Thời lượng pin],Đánh giá sơ bộ laptop của bạn [Độ di động (gọn nhẹ)],Đánh giá sơ bộ laptop của bạn [Hiệu năng],Đánh giá sơ bộ laptop của bạn [Hiển thị],Đánh giá sơ bộ laptop của bạn [Dịch vụ bảo hành],Thời lượng sử dụng laptop của bạn mỗi ngày,"Mục đích sử dụng laptop của bạn là gì
(Bạn có thể chọn nhiều hơn 1 câu trả lời)",Thời lượng sử dụng laptop của bạn trong việc học trong 1 ngày,Laptop có giúp ích trong việc học và làm của bạn không,Bạn có sử dụng laptop khi lên lớp không ?,Bạn có thường bị mất tập trung khi sử dụng laptop cho việc học không ?,Bạn dành bao nhiêu tiền để mua laptop (đơn vị Triệu đồng),"Nếu được chọn lại, bạn sẽ chọn mẫu máy laptop nào? Tại sao?","Trên thang điểm 1-5 hãy đánh giá khả năng sử dụng máy tính của bạn (1: Mới sử dụng, 5: Thành thạo)",Bạn đã từng sử dụng mẹo để tăng tốc độ xử lý của máy tính chưa?
12/27/2022 17:02,64,DSEB,Nam,Dell,Không nhớ,Bình thường,Bình thường,Bình thường,Khá hài lòng,Bình thường,Bình thường,Bình thường,Khá hài lòng,2 - 4 tiếng,"Học tập, Chơi game, Giải trí nhẹ, Soạn thảo văn bản",1- 2 tiếng,Đủ,Ít khi,Thình thoảng,12.5,Acer Nitro 5,3,Đã từng
12/27/2022 17:04,64,DSEB,Nữ,Macbook,Macbook Air M1,Khá hài lòng,Bình thường,Khá hài lòng,Khá hài lòng,Khá hài lòng,Bình thường,Khá hài lòng,Bình thường,2 - 4 tiếng,"Học tập, Giải trí nhẹ, Soạn thảo văn bản",ít hơn 30 phút,Đủ,Thình thoảng,Bình thường,30,Macbook,2,Chưa từng
12/27/2022 17:05,64,Kiểm toán,Nam,Macbook,Macbook Pro M1,Khá hài lòng,Rất hài lòng,Rất hài lòng,Rất hài lòng,Rất hài lòng,Khá hài lòng,Rất hài lòng,Khá hài lòng,30 phút - 1 tiếng,"Học tập, Giải trí nhẹ, Soạn thảo văn bản, Sáng tạo nội dung (chỉnh sửa hình ảnh, video)",1- 2 tiếng,Đủ,Thình thoảng,Bình thường,30,,4,Chưa từng
12/27/2022 17:06,64,DSEB,Nữ,Asus,Asus Vivobook,Bình thường,Bình thường,Bình thường,Bình thường,Không hài lòng,Khá hài lòng,Khá hài lòng,Bình thường,30 phút - 1 tiếng,Học tập,30 phút - 1 tiếng,Đủ,Thình thoảng,Thường xuyên,12.5,,3,Chưa từng
12/27/2022 17:06,64,DSEB,Nam,Macbook,Macbook Air M1,Rất hài lòng,Rất hài lòng,Rất hài lòng,Rất hài lòng,Rất hài lòng,Rất hài lòng,Rất hài lòng,Rất hài lòng,1- 2 tiếng,"Học tập, Chơi game, Giải trí nhẹ, Soạn thảo văn bản, Sáng tạo nội dung (chỉnh sửa hình ảnh, video)",30 phút - 1 tiếng,Đủ,Thình thoảng,Thình thoảng,22.5,,3,Chưa từng
12/27/2022 17:06,64,DSEB,Nữ,Dell,Dell Latitude,Bình thường,Khá hài lòng,Không hài lòng,Không hài lòng,Không hài lòng,Khá hài lòng,Khá hài lòng,Bình thường,2 - 4 tiếng,"Học tập, Giải trí nhẹ, Lập trình",1- 2 tiếng,Ngoài mong đợi,Không,Thình thoảng,12.5,,3,Chưa từng
12/27/2022 17:06,64,DSEB,Nam,MSI,MSI Modern 14,Bình thường,Khá hài lòng,Khá hài lòng,Bình thường,Rất hài lòng,Khá hài lòng,Khá hài lòng,Rất hài lòng,2 - 4 tiếng,"Học tập, Giải trí nhẹ, Soạn thảo văn bản",1- 2 tiếng,Đủ,Bình thường,Thình thoảng,12.5,,3,Chưa từng
12/27/2022 17:06,64,DSEB,Nam,Asus,Asus Vivobook,Khá hài lòng,Khá hài lòng,Rất hài lòng,Bình thường,Khá hài lòng,Rất hài lòng,Rất hài lòng,Không hài lòng,4 tiếng +,"Học tập, Chơi game, Giải trí nhẹ, Sáng tạo nội dung (chỉnh sửa hình ảnh, video), Lập trình, Chạy máy ảo",1- 2 tiếng,Ngoài mong đợi,Thường xuyên,Bình thường,22.5,Macbook Pro,4,Đã từng
12/27/2022 17:07,63,MIS,Nữ,HP,HP Pavilion ,Khá hài lòng,Bình thường,Bình thường,Khá hài lòng,Bình thường,Khá hài lòng,Khá hài lòng,Khá hài lòng,4 tiếng +,"Học tập, Giải trí nhẹ, Sáng tạo nội dung (chỉnh sửa hình ảnh, video), Lập trình",1- 2 tiếng,Đủ,Thường xuyên,Thình thoảng,7.5,,4,Chưa từng
12/27/2022 17:07,64,Tài chính,Nữ,Asus,Asus Vivobook,Khá hài lòng,Khá hài lòng,Bình thường,Khá hài lòng,Khá hài lòng,Bình thường,Bình thường,Khá hài lòng,4 tiếng +,"Học tập, Giải trí nhẹ, Soạn thảo văn bản",4 tiếng +,Đủ,Thường xuyên,Ít khi,17.5,lenovo thinkbook,3,Chưa từng
12/27/2022 17:07,64,DSEB,Nữ,Dell,Không nhớ,Bình thường,Bình thường,Khá hài lòng,Không hài lòng,Không hài lòng,Bình thường,Bình thường,Bình thường,1- 2 tiếng,Học tập,1- 2 tiếng,Đủ,Thình thoảng,Thình thoảng,17.5,,3,Chưa từng
12/27/2022 17:09,64,CNTT,Nam,Acer,Acer Nitro 5,Khá hài lòng,Khá hài lòng,Rất hài lòng,Bình thường,Bình thường,Khá hài lòng,Khá hài lòng,Khá hài lòng,4 tiếng +,"Học tập, Chơi game, Sáng tạo nội dung (chỉnh sửa hình ảnh, video), Lập trình",30 phút - 1 tiếng,Đủ,Thình thoảng,Bình thường,12.5,,3,Đã từng
12/27/2022 17:09,64,Kiểm toán,Nữ,MSI,MSI Modern 14,Bình thường,Khá hài lòng,Rất hài lòng,Bình thường,Rất hài lòng,Bình thường,Khá hài lòng,Rất hài lòng,4 tiếng +,"Học tập, Chơi game, Giải trí nhẹ, Soạn thảo văn bản",2 - 4 tiếng,Ngoài mong đợi,Ít khi,Bình thường,12.5,Asus ,3,Đã từng
12/27/2022 17:20,64,Tài chính,Nam,Dell,Dell Latitude,Bình thường,Bình thường,Bình thường,Bình thường,Bình thường,Bình thường,Bình thường,Bình thường,2 - 4 tiếng,Soạn thảo văn bản,1- 2 tiếng,Đủ,Ít khi,Ít khi,12.5,Acer Nitro 5,3,Chưa từng
12/27/2022 17:22,64,DSEB,Nam,Lenovo,Thinkbook 16,Khá hài lòng,Khá hài lòng,Rất hài lòng,Khá hài lòng,Bình thường,Rất hài lòng,Khá hài lòng,Bình thường,4 tiếng +,"Học tập, Giải trí nhẹ, Soạn thảo văn bản, Sáng tạo nội dung (chỉnh sửa hình ảnh, video)",2 - 4 tiếng,Đủ,Ít khi,Thường xuyên,30,,4,Chưa từng
12/27/2022 17:25,64,Tài chính,Nam,Dell,Dell gaming g15,Khá hài lòng,Khá hài lòng,Khá hài lòng,Không hài lòng,Không hài lòng,Rất hài lòng,Rất hài lòng,Khá hài lòng,2 - 4 tiếng,"Học tập, Chơi game",1- 2 tiếng,Đủ,Ít khi,Thường xuyên,17.5,Rog Strix,3,Chưa từng
12/27/2022 17:28,64,DSEB,Nam,Dell,xps 13 9513,Khá hài lòng,Khá hài lòng,Rất hài lòng,Thất vọng,Rất hài lòng,Khá hài lòng,Rất hài lòng,Bình thường,4 tiếng +,"Học tập, Chơi game, Giải trí nhẹ, Soạn thảo văn bản",2 - 4 tiếng,Đủ,Không,Thường xuyên,17.5,Macbook Pro,5,Chưa từng
12/27/2022 17:29,64,DSEB,Nữ,Asus,Asus Zenbook,Khá hài lòng,Bình thường,Bình thường,Không hài lòng,Khá hài lòng,Bình thường,Không hài lòng,Không hài lòng,2 - 4 tiếng,"Học tập, Giải trí nhẹ, Lập trình",1- 2 tiếng,Bình thường,Thình thoảng,Thường xuyên,17.5,Dell XPS,3,Đã từng
12/27/2022 17:30,64,DSEB,Nam,MSI,MSI GF63 95C,Khá hài lòng,Không hài lòng,Bình thường,Thất vọng,Không hài lòng,Rất hài lòng,Rất hài lòng,Khá hài lòng,4 tiếng +,"Học tập, Giải trí nhẹ, Lập trình",2 - 4 tiếng,Ngoài mong đợi,Thình thoảng,Thình thoảng,22.5,,4,Chưa từng
12/27/2022 17:31,Ngoài trường NEU,IT,Nam,Lenovo,Thinkpad P50,Rất hài lòng,Khá hài lòng,Khá hài lòng,Khá hài lòng,Không hài lòng,Bình thường,Khá hài lòng,Khá hài lòng,4 tiếng +,"Học tập, Chơi game, Soạn thảo văn bản, Sáng tạo nội dung (chỉnh sửa hình ảnh, video), Lập trình",2 - 4 tiếng,Ngoài mong đợi,Thường xuyên,Thình thoảng,17.5,Thinkpad p52,4,Chưa từng
12/27/2022 17:39,64,Tài chính,Nam,HP,HP Pavilion ,Rất hài lòng,Rất hài lòng,Rất hài lòng,Bình thường,Bình thường,Rất hài lòng,Rất hài lòng,Khá hài lòng,2 - 4 tiếng,"Học tập, Giải trí nhẹ, Soạn thảo văn bản, Sáng tạo nội dung (chỉnh sửa hình ảnh, video)",ít hơn 30 phút,Đủ,Không,Không,17.5,,4,Chưa từng
12/27/2022 17:39,64,DSEB,Nữ,Dell,Dell Vostro,Rất hài lòng,Rất hài lòng,Rất hài lòng,Bình thường,Khá hài lòng,Khá hài lòng,Rất hài lòng,Khá hài lòng,ít hơn 30 phút,"Học tập, Soạn thảo văn bản",ít hơn 30 phút,Bình thường,Ít khi,Bình thường,22.5,,3,Chưa từng
12/27/2022 17:41,64,DSEB,Nữ,Asus,Asus Vivobook,Rất hài lòng,Rất hài lòng,Rất hài lòng,Bình thường,Rất hài lòng,Khá hài lòng,Rất hài lòng,Rất hài lòng,4 tiếng +,"Học tập, Chơi game, Giải trí nhẹ, Soạn thảo văn bản, Sáng tạo nội dung (chỉnh sửa hình ảnh, video)",2 - 4 tiếng,Đủ,Thường xuyên,Thình thoảng,17.5,,4,Đã từng
12/27/2022 17:46,63,DSEB,Nữ,Lenovo,Lenovo Yoga Slim 7 Pro,Khá hài lòng,Khá hài lòng,Khá hài lòng,Khá hài lòng,Rất hài lòng,Rất hài lòng,Khá hài lòng,Bình thường,4 tiếng +,"Học tập, Giải trí nhẹ, Soạn thảo văn bản, Lập trình",2 - 4 tiếng,Ngoài mong đợi,Thường xuyên,Thình thoảng,30,,3,Đã từng
12/27/2022 17:49,63,MIS,Nam,HP,HP Pavilion ,Bình thường,Bình thường,Bình thường,Không hài lòng,Khá hài lòng,Không hài lòng,Bình thường,Không hài lòng,2 - 4 tiếng,"Học tập, Giải trí nhẹ, Soạn thảo văn bản, Lập trình",1- 2 tiếng,Đủ,Thường xuyên,Thình thoảng,17.5,,3,Đã từng
12/27/2022 17:50,64,DSEB,Nữ,Dell,Dell inspiron 13 5310,Khá hài lòng,Khá hài lòng,Rất hài lòng,Khá hài lòng,Rất hài lòng,Khá hài lòng,Khá hài lòng,Bình thường,2 - 4 tiếng,"Học tập, Chơi game, Giải trí nhẹ, Soạn thảo văn bản, Chạy máy ảo",1- 2 tiếng,Đủ,Thình thoảng,Bình thường,17.5,Macbook,2,Đã từng
12/27/2022 17:52,Ngoài trường NEU,Logistics,Nữ,Macbook,Macbook Air 2017,Không hài lòng,Khá hài lòng,Rất hài lòng,Không hài lòng,Rất hài lòng,Không hài lòng,Khá hài lòng,Bình thường,ít hơn 30 phút,"Học tập, Soạn thảo văn bản",ít hơn 30 phút,Bình thường,Thình thoảng,Bình thường,22.5,,4,Đã từng
12/27/2022 17:56,Ngoài trường NEU,Luật,Nữ,Asus,ASUS X407U,Bình thường,Bình thường,Khá hài lòng,Không hài lòng,Khá hài lòng,Không hài lòng,Không hài lòng,Khá hài lòng,4 tiếng +,"Học tập, Giải trí nhẹ, Soạn thảo văn bản",4 tiếng +,Bình thường,Thường xuyên,Ít khi,17.5,Macbook,3,Chưa từng
12/27/2022 18:03,64,DSEB,Nữ,HP,Không nhớ,Không hài lòng,Bình thường,Bình thường,Khá hài lòng,Khá hài lòng,Bình thường,Bình thường,Bình thường,2 - 4 tiếng,"Học tập, Giải trí nhẹ, Soạn thảo văn bản",30 phút - 1 tiếng,Bình thường,Thường xuyên,Thình thoảng,12.5,Mình chưa cân nhắc,3,Chưa từng
12/27/2022 18:04,64,DSEB,Nam,Dell,Không nhớ,Bình thường,Khá hài lòng,Bình thường,Không hài lòng,Khá hài lòng,Khá hài lòng,Khá hài lòng,Bình thường,30 phút - 1 tiếng,"Học tập, Soạn thảo văn bản, Sáng tạo nội dung (chỉnh sửa hình ảnh, video)",1- 2 tiếng,Đủ,Thình thoảng,Bình thường,12.5,Dell,3,Đã từng
12/27/2022 18:04,64,DSEB,Nam,HP,HP victus 16 ,Khá hài lòng,Bình thường,Khá hài lòng,Không hài lòng,Không hài lòng,Khá hài lòng,Bình thường,Bình thường,4 tiếng +,"Học tập, Chơi game, Lập trình, Chạy máy ảo",2 - 4 tiếng,Ngoài mong đợi,Thường xuyên,Thình thoảng,12.5,,2,Đã từng
12/27/2022 18:06,64,Kiểm toán,Nữ,Macbook,Macbook Pro 15 inch 2017,Rất hài lòng,Rất hài lòng,Rất hài lòng,Khá hài lòng,Khá hài lòng,Khá hài lòng,Rất hài lòng,Khá hài lòng,4 tiếng +,"Học tập, Giải trí nhẹ, Soạn thảo văn bản, Sáng tạo nội dung (chỉnh sửa hình ảnh, video)",2 - 4 tiếng,Đủ,Thường xuyên,Thình thoảng,30,,4,Đã từng
12/27/2022 18:06,64,DSEB,Nam,Lenovo,Lenovo Thinkbook 14 G4 IAP 21CX001RVN,Khá hài lòng,Khá hài lòng,Khá hài lòng,Khá hài lòng,Rất hài lòng,Rất hài lòng,Rất hài lòng,Rất hài lòng,4 tiếng +,"Học tập, Giải trí nhẹ, Soạn thảo văn bản, Sử dụng các trang mạng xã hội",2 - 4 tiếng,Ngoài mong đợi,Thường xuyên,Ít khi,30,,4,Đã từng
12/27/2022 18:08,64,DSEB,Nữ,HP,Không nhớ,Không hài lòng,Bình thường,Bình thường,Khá hài lòng,Không hài lòng,Bình thường,Bình thường,Bình thường,ít hơn 30 phút,"Học tập, Chơi game, Giải trí nhẹ, Soạn thảo văn bản, Sáng tạo nội dung (chỉnh sửa hình ảnh, video)",2 - 4 tiếng,Đủ,Ít khi,Không,12.5,Macbook,3,Chưa từng
12/27/2022 18:11,64,DSEB,Nam,Acer,acer predator,Khá hài lòng,Khá hài lòng,Khá hài lòng,Khá hài lòng,Bình thường,Khá hài lòng,Khá hài lòng,Bình thường,2 - 4 tiếng,"Học tập, Soạn thảo văn bản, Lập trình",2 - 4 tiếng,Bình thường,Ít khi,Không,30,,4,Chưa từng
12/27/2022 18:13,62,DSEB,Nam,Dell,Dell Precision,Bình thường,Khá hài lòng,Khá hài lòng,Bình thường,Không hài lòng,Khá hài lòng,Khá hài lòng,Bình thường,4 tiếng +,"Học tập, Chơi game, Giải trí nhẹ, Lập trình",2 - 4 tiếng,Đủ,Thường xuyên,Không,17.5,,5,Đã từng
12/27/2022 18:13,Ngoài trường NEU,Logistics,Nam,HP,Không nhớ,Thất vọng,Rất hài lòng,Rất hài lòng,Rất hài lòng,Rất hài lòng,Rất hài lòng,Rất hài lòng,Rất hài lòng,1- 2 tiếng,"Học tập, Giải trí nhẹ, Soạn thảo văn bản",30 phút - 1 tiếng,Ngoài mong đợi,Thường xuyên,Thường xuyên,12.5,,5,Chưa từng
12/27/2022 18:26,64,IT,Nam,Lenovo,Legion 5,Khá hài lòng,Rất hài lòng,Rất hài lòng,Không hài lòng,Bình thường,Rất hài lòng,Rất hài lòng,Rất hài lòng,4 tiếng +,"Học tập, Chơi game, Lập trình",1- 2 tiếng,Ngoài mong đợi,Thường xuyên,Thình thoảng,30,,4,Đã từng
12/27/2022 18:30,Ngoài trường NEU,ngôn ngữ anh,Nữ,Dell,Dell Vostro,Bình thường,Bình thường,Bình thường,Khá hài lòng,Bình thường,Bình thường,Bình thường,Khá hài lòng,30 phút - 1 tiếng,"Học tập, Giải trí nhẹ",30 phút - 1 tiếng,Bình thường,Thình thoảng,Bình thường,12.5,,4,Chưa từng
12/27/2022 18:31,64,DSEB,Nam,Macbook,Macbook,Khá hài lòng,Khá hài lòng,Rất hài lòng,Rất hài lòng,Rất hài lòng,Khá hài lòng,Khá hài lòng,Bình thường,2 - 4 tiếng,"Học tập, Soạn thảo văn bản, Sáng tạo nội dung (chỉnh sửa hình ảnh, video), Lập trình",2 - 4 tiếng,Đủ,Thường xuyên,Thình thoảng,30,Macbook,3,Chưa từng
12/27/2022 18:39,64,DSEB,Nữ,Asus,Asus Vivobook,Không hài lòng,Bình thường,Khá hài lòng,Khá hài lòng,Bình thường,Không hài lòng,Khá hài lòng,Rất hài lòng,4 tiếng +,"Học tập, Giải trí nhẹ, Soạn thảo văn bản",2 - 4 tiếng,Ngoài mong đợi,Thình thoảng,Thình thoảng,17.5,Lenovo,4,Đã từng
12/27/2022 18:40,64,DSEB,Nữ,Microsoft Surface,Surface pro4,Bình thường,Bình thường,Khá hài lòng,Bình thường,Khá hài lòng,Khá hài lòng,Khá hài lòng,Khá hài lòng,1- 2 tiếng,"Học tập, Giải trí nhẹ, Soạn thảo văn bản, Chạy máy ảo",30 phút - 1 tiếng,Đủ,Không,Thình thoảng,7.5,,3,Đã từng
12/27/2022 18:49,Ngoài trường NEU,QTKD,Nữ,Asus,Asus Vivobook,Khá hài lòng,Bình thường,Bình thường,Không hài lòng,Khá hài lòng,Bình thường,Bình thường,Bình thường,4 tiếng +,"Học tập, Giải trí nhẹ, Soạn thảo văn bản",2 - 4 tiếng,Đủ,Thường xuyên,Thình thoảng,12.5,,4,Chưa từng
12/27/2022 18:52,63,DSEB,Nữ,Dell,Dell Inspiron 15 3511,Khá hài lòng,Khá hài lòng,Khá hài lòng,Bình thường,Khá hài lòng,Khá hài lòng,Khá hài lòng,Khá hài lòng,4 tiếng +,"Học tập, Giải trí nhẹ, Soạn thảo văn bản, Sáng tạo nội dung (chỉnh sửa hình ảnh, video), Lập trình",4 tiếng +,Đủ,Bình thường,Ít khi,22.5,Macbook,4,Đã từng
12/27/2022 18:59,64,DSEB,Nữ,Macbook,macbook air,Rất hài lòng,Rất hài lòng,Rất hài lòng,Rất hài lòng,Rất hài lòng,Rất hài lòng,Rất hài lòng,Rất hài lòng,2 - 4 tiếng,"Học tập, Giải trí nhẹ, Soạn thảo văn bản, Sáng tạo nội dung (chỉnh sửa hình ảnh, video)",1- 2 tiếng,Đủ,Bình thường,Ít khi,30,Macbook M2,3,Chưa từng
12/27/2022 19:17,63,DSEB,Nữ,Dell,Dell Vostro,Rất hài lòng,Khá hài lòng,Rất hài lòng,Khá hài lòng,Rất hài lòng,Khá hài lòng,Rất hài lòng,Bình thường,4 tiếng +,"Học tập, Chơi game, Giải trí nhẹ, Soạn thảo văn bản, Sáng tạo nội dung (chỉnh sửa hình ảnh, video), Lập trình",2 - 4 tiếng,Ngoài mong đợi,Thường xuyên,Thình thoảng,30,Asus,4,Đã từng
12/27/2022 19:44,64,MIS,Nữ,Acer,Acer Aspire,Bình thường,Bình thường,Rất hài lòng,Khá hài lòng,Khá hài lòng,Bình thường,Khá hài lòng,Khá hài lòng,2 - 4 tiếng,"Học tập, Giải trí nhẹ, Soạn thảo văn bản, Sáng tạo nội dung (chỉnh sửa hình ảnh, video), Lập trình",1- 2 tiếng,Đủ,Thình thoảng,Ít khi,17.5,,3,Chưa từng
12/27/2022 20:15,Ngoài trường NEU,Marketing,Nữ,Asus,Asus Vivobook,Rất hài lòng,Rất hài lòng,Rất hài lòng,Bình thường,Bình thường,Khá hài lòng,Rất hài lòng,Bình thường,4 tiếng +,"Học tập, Chơi game, Giải trí nhẹ, Soạn thảo văn bản, Sáng tạo nội dung (chỉnh sửa hình ảnh, video)",2 - 4 tiếng,Đủ,Thường xuyên,Ít khi,22.5,,4,Đã từng
12/27/2022 20:44,Ngoài trường NEU,Luật,Nữ,Lenovo,Lenovo 14 inch,Không hài lòng,Bình thường,Bình thường,Thất vọng,Không hài lòng,Bình thường,Bình thường,Bình thường,4 tiếng +,"Học tập, Giải trí nhẹ, Soạn thảo văn bản",4 tiếng +,Đủ,Thình thoảng,Bình thường,7.5,MacBook Pro,5,Chưa từng
12/27/2022 21:31,Ngoài trường NEU,Phân Tích Tài Chính,Nữ,Dell,Dell Precision,Khá hài lòng,Khá hài lòng,Khá hài lòng,Khá hài lòng,Khá hài lòng,Khá hài lòng,Khá hài lòng,Khá hài lòng,2 - 4 tiếng,"Học tập, Chơi game, Giải trí nhẹ, Soạn thảo văn bản",1- 2 tiếng,Đủ,Thình thoảng,Bình thường,22.5,,4,Đã từng
12/27/2022 22:53,64,MIS,Nữ,Dell,Dell Vostro,Khá hài lòng,Bình thường,Bình thường,Không hài lòng,Không hài lòng,Khá hài lòng,Khá hài lòng,Bình thường,4 tiếng +,"Học tập, Chơi game, Giải trí nhẹ, Soạn thảo văn bản, Lập trình",1- 2 tiếng,Ngoài mong đợi,Thình thoảng,Thình thoảng,17.5,Lenovo,3,Chưa từng
12/27/2022 23:53,Ngoài trường NEU,Kinh tế đối ngoại,Nam,Acer,Acer Nitro 5,Khá hài lòng,Rất hài lòng,Khá hài lòng,Bình thường,Không hài lòng,Rất hài lòng,Rất hài lòng,Khá hài lòng,4 tiếng +,"Học tập, Chơi game, Giải trí nhẹ, Soạn thảo văn bản, Sáng tạo nội dung (chỉnh sửa hình ảnh, video)",2 - 4 tiếng,Ngoài mong đợi,Thường xuyên,Thình thoảng,22.5,Lenovo Legion 5,4,Chưa từng
12/28/2022 9:42,64,Kiểm Toán,Nữ,Dell,Không nhớ,Khá hài lòng,Rất hài lòng,Rất hài lòng,Khá hài lòng,Không hài lòng,Khá hài lòng,Rất hài lòng,Khá hài lòng,30 phút - 1 tiếng,"Học tập, Nghe nhạc",ít hơn 30 phút,Bình thường,Ít khi,Thường xuyên,17.5,,4,Chưa từng
12/28/2022 10:10,63,Kinh doanh quốc tế ,Nữ,Dell,Dell Latitude 5400,Khá hài lòng,Bình thường,Khá hài lòng,Bình thường,Khá hài lòng,Khá hài lòng,Khá hài lòng,Bình thường,2 - 4 tiếng,"Học tập, Giải trí nhẹ, Soạn thảo văn bản",1- 2 tiếng,Đủ,Thình thoảng,Thình thoảng,17.5,,2,Đã từng
12/28/2022 14:12,64,DSEB,Nữ,Macbook,Macbook Air M1,Khá hài lòng,Rất hài lòng,Rất hài lòng,Rất hài lòng,Rất hài lòng,Khá hài lòng,Khá hài lòng,Rất hài lòng,4 tiếng +,"Học tập, Giải trí nhẹ, Soạn thảo văn bản",1- 2 tiếng,Bình thường,Thường xuyên,Ít khi,22.5,Macbook Pro,4,Đã từng
12/28/2022 16:49,64,DSEB,Nam,MSI,Bravo,Bình thường,Khá hài lòng,Thất vọng,Khá hài lòng,Thất vọng,Bình thường,Khá hài lòng,Bình thường,2 - 4 tiếng,"Học tập, Giải trí nhẹ, Soạn thảo văn bản, Sáng tạo nội dung (chỉnh sửa hình ảnh, video)",1- 2 tiếng,Ngoài mong đợi,Thình thoảng,Thình thoảng,17.5,Macbook,3,Đã từng
12/28/2022 17:06,64,DSEB,Nữ,Dell,Dell Precision,Khá hài lòng,Khá hài lòng,Rất hài lòng,Khá hài lòng,Rất hài lòng,Bình thường,Bình thường,Bình thường,2 - 4 tiếng,"Học tập, Giải trí nhẹ, Soạn thảo văn bản, Lập trình, Chạy máy ảo",1- 2 tiếng,Đủ,Thình thoảng,Bình thường,17.5,Macbook,3,Đã từng
12/28/2022 17:12,64,DSEB,Nữ,Alienware,Alienware 51m r1,Khá hài lòng,Bình thường,Rất hài lòng,Bình thường,Thất vọng,Rất hài lòng,Rất hài lòng,Rất hài lòng,4 tiếng +,"Học tập, Chơi game, Giải trí nhẹ",1- 2 tiếng,Ngoài mong đợi,Ít khi,Bình thường,30,,3,Đã từng
12/28/2022 17:54,Ngoài trường NEU,Tài chính,Nữ,Asus,Asus Vivobook,Khá hài lòng,Khá hài lòng,Khá hài lòng,Bình thường,Bình thường,Không hài lòng,Không hài lòng,Bình thường,2 - 4 tiếng,Học tập,30 phút - 1 tiếng,Đủ,Ít khi,Thường xuyên,17.5,Macbook,3,Chưa từng
12/29/2022 13:06,64,QTKD,Nữ,Asus,Không nhớ,Bình thường,Khá hài lòng,Rất hài lòng,Bình thường,Bình thường,Bình thường,Bình thường,Bình thường,2 - 4 tiếng,"Học tập, Chơi game, Soạn thảo văn bản, Sáng tạo nội dung (chỉnh sửa hình ảnh, video)",1- 2 tiếng,Đủ,Thình thoảng,Ít khi,12.5,Macbook,3,Chưa từng
12/30/2022 12:21,Ngoài trường NEU,Thiết kế thời trang cho người ngoài hành tinh,Nam,Alienware,Không nhớ,Rất hài lòng,Khá hài lòng,Khá hài lòng,Không hài lòng,Bình thường,Khá hài lòng,Khá hài lòng,Không hài lòng,4 tiếng +,"Học tập, Chơi game, Giải trí nhẹ, Soạn thảo văn bản",4 tiếng +,Ngoài mong đợi,Bình thường,Bình thường,30,Mình sẽ chọn đi đăng kiểm,3,Chưa từng
12/31/2022 23:57,Ngoài trường NEU,Hàn quốc học,Nữ,Dell,Không nhớ,Bình thường,Bình thường,Bình thường,Không hài lòng,Thất vọng,Bình thường,Bình thường,Bình thường,2 - 4 tiếng,"Học tập, Giải trí nhẹ, Soạn thảo văn bản",1- 2 tiếng,Đủ,Thình thoảng,Thường xuyên,12.5,,3,Chưa từng
1/3/2023 11:38,63,Marketing,Nữ,Macbook,Macbook Air M1,Rất hài lòng,Rất hài lòng,Rất hài lòng,Rất hài lòng,Rất hài lòng,Khá hài lòng,Rất hài lòng,Bình thường,2 - 4 tiếng,"Học tập, Giải trí nhẹ, Soạn thảo văn bản, Sáng tạo nội dung (chỉnh sửa hình ảnh, video)",1- 2 tiếng,Ngoài mong đợi,Thường xuyên,Thình thoảng,22.5,,2,Chưa từng
1/3/2023 11:40,62,Tài chính,Nam,HP,War x 2021 ,Bình thường,Rất hài lòng,Không hài lòng,Rất hài lòng,Bình thường,Khá hài lòng,Không hài lòng,Thất vọng,4 tiếng +,"Học tập, Chơi game, Giải trí nhẹ, Soạn thảo văn bản",2 - 4 tiếng,Đủ,Thường xuyên,Thường xuyên,17.5,slim 7 pro,4,Đã từng
1/3/2023 11:43,62,Toán kinh tế ,Nam,Macbook,Macbook Pro M1,Rất hài lòng,Rất hài lòng,Rất hài lòng,Khá hài lòng,Rất hài lòng,Bình thường,Rất hài lòng,Không hài lòng,4 tiếng +,"Học tập, Giải trí nhẹ, Soạn thảo văn bản, Sáng tạo nội dung (chỉnh sửa hình ảnh, video)",4 tiếng +,Đủ,Thường xuyên,Thình thoảng,22.5,,5,Đã từng
1/3/2023 17:20,Ngoài trường NEU,Xây dựng gia đình,Bi,Tongfang,TongFang IDW,Rất hài lòng,Khá hài lòng,Khá hài lòng,Bình thường,Bình thường,Khá hài lòng,Khá hài lòng,Thất vọng,4 tiếng +,"Học tập, Chơi game, Giải trí nhẹ, Soạn thảo văn bản, Sáng tạo nội dung (chỉnh sửa hình ảnh, video), Lập trình, Chạy máy ảo",4 tiếng +,Đủ,Thường xuyên,Thường xuyên,30,Tongfang ID4H1,5,Đã từng
